app_id,title,rating,rating_score,genres,metacritic_score
1687950,Persona 5 Royal,Overwhelmingly Positive,95.18,RPG,97
271590,Grand Theft Auto V,Very Positive,85.25,"Action,Adventure",96
1245620,ELDEN RING,Very Positive,91.1,"Action,RPG",94
8870,BioShock Infinite,Very Positive,92.63,Action,94
1174180,Red Dead Redemption 2,Very Positive,89.27,"Action,Adventure",93
620980,Beat Saber,Overwhelmingly Positive,94.34,Indie,93
4560,Company of Heroes - Legacy Edition,Very Positive,90.51,"Action,Strategy",93
1593500,God of War,Overwhelmingly Positive,95.54,"Action,Adventure,RPG",93
546560,Half-Life: Alyx,Overwhelmingly Positive,96.79,"Action,Adventure",93
1145360,Hades,Overwhelmingly Positive,97.34,"Action,Indie,RPG",93
587620,Okami HD,Very Positive,89.96,Adventure,92
391540,Undertale,Overwhelmingly Positive,95.49,"Indie,RPG",92
238210,System Shock 2,Overwhelmingly Positive,91.4,"Action,RPG",92
440,Team Fortress 2,Very Positive,93.07,"Action,Free to Play",92
6310,The Longest Journey,Very Positive,86.5,"Action,Adventure,RPG",91
1041210,Mission: It's Complicated,Very Positive,84.23,"Adventure,Casual,Indie",91
269710,Tumblestone,Very Positive,73.57,"Action,Casual,Indie,Strategy",91
205100,Dishonored,Overwhelmingly Positive,95.94,"Action,Adventure",91
22300,Fallout 3,Mostly Positive,78.15,RPG,91
287700,METAL GEAR SOLID V: THE PHANTOM PAIN,Very Positive,89.7,"Action,Adventure",91
418530,Spelunky 2,Very Positive,90.95,"Action,Indie",91
273620,Freespace 2,Mostly Positive,73.17,Action,91
1158310,Crusader Kings III,Very Positive,90.81,"RPG,Simulation,Strategy",91
238010,Deus Ex: Human Revolution - Director's Cut,Very Positive,90.13,"Action,RPG",91
26800,Braid,Very Positive,91.02,"Casual,Indie,Strategy",90
469790,Linelight,Overwhelmingly Positive,91.27,"Action,Adventure,Casual,Indie",90
570,Dota 2,Very Positive,82.17,"Action,Free to Play,Strategy",90
12210,Grand Theft Auto IV: The Complete Edition,Very Positive,78.29,"Action,Adventure",90
558990,Opus Magnum,Overwhelmingly Positive,93.82,"Indie,Simulation",90
354400,Tadpole Treble,Very Positive,87.57,"Action,Adventure,Indie",90
8880,Freedom Force,Mixed,54.71,"RPG,Strategy",90
400,Portal,Overwhelmingly Positive,97.09,Action,90
6910,Deus Ex: Game of the Year Edition,Very Positive,92.27,Action,90
239350,Spelunky,Very Positive,89.8,Indie,90
1284210,Guild Wars 2,Very Positive,86.17,"Adventure,Free to Play,Massively Multiplayer,RPG",90
1504500,OPUS: Echo of Starsong - Full Bloom Edition,Overwhelmingly Positive,93.79,"Adventure,Indie",90
460790,Bayonetta,Very Positive,90.33,"Action,Adventure",90
22000,World of Goo,Very Positive,91.05,Indie,90
420,Half-Life 2: Episode Two,Overwhelmingly Positive,95.03,Action,90
353540,Stephen's Sausage Roll,Overwhelmingly Positive,90.22,Indie,90
1123450,Chicory: A Colorful Tale,Overwhelmingly Positive,93.18,"Adventure,Indie,RPG",90
225080,Brothers - A Tale of Two Sons,Very Positive,92.7,"Action,Adventure,Indie",90
427520,Factorio,Overwhelmingly Positive,95.14,"Casual,Indie,Simulation,Strategy",90
590380,Into the Breach,Very Positive,92.3,"Indie,RPG,Simulation,Strategy",90
200510,XCOM: Enemy Unknown,Very Positive,92.71,Strategy,89
310950,Street Fighter V,Mostly Positive,65.72,Action,89
413150,Stardew Valley,Overwhelmingly Positive,97.32,"Indie,RPG,Simulation",89
242680,Nuclear Throne,Overwhelmingly Positive,93.79,"Action,Indie,RPG",89
730820,The Curse of Monkey Island,Overwhelmingly Positive,92.73,Adventure,89
358930,Star Control III,Mixed,52.15,"Action,Adventure,Indie,Strategy",89
883710,Resident Evil 2,Overwhelmingly Positive,95.79,Action,89
17460,Mass Effect (2007),Very Positive,91.4,"Action,RPG",89
38440,Sacrifice,Very Positive,85.8,,89
1240210,There Is No Game: Wrong Dimension,Overwhelmingly Positive,95.48,"Adventure,Casual,Indie",89
273590,Descent 3,Mixed,63.46,Action,89
287450,Rise of Nations: Extended Edition,Very Positive,91.72,"Simulation,Strategy",89
588650,Dead Cells,Overwhelmingly Positive,95.81,"Action,Indie",89
653530,Return of the Obra Dinn,Overwhelmingly Positive,94.47,"Adventure,Indie",89
1426210,It Takes Two,Overwhelmingly Positive,94.25,"Action,Adventure",89
442120,Pinball FX3,Very Positive,85.06,Simulation,89
501300,What Remains of Edith Finch,Overwhelmingly Positive,93.59,"Adventure,Indie",89
607080,Psychonauts 2,Overwhelmingly Positive,94.41,"Action,Adventure",89
601150,Devil May Cry 5,Overwhelmingly Positive,94.05,Action,89
500,Left 4 Dead,Overwhelmingly Positive,94.46,Action,89
1184480,Inertial Drift,Very Positive,85.17,"Indie,Racing",89
636450,Rez Infinite,Very Positive,86.96,"Action,Casual,Indie",89
291650,Pillars of Eternity,Very Positive,86.24,RPG,89
12140,Max Payne,Very Positive,87.04,Action,89
1533420,Neon White,Overwhelmingly Positive,95.34,"Action,Adventure,Indie",89
646570,Slay the Spire,Overwhelmingly Positive,96.5,"Indie,Strategy",89
1253920,Rogue Legacy 2,Very Positive,88.39,"Action,Adventure,Indie,RPG",88
20920,The Witcher 2: Assassins of Kings Enhanced Edition,Very Positive,88.19,RPG,88
3920,Sid Meier's Pirates!,Very Positive,90.99,RPG,88
610860,Shogo: Mobile Armor Division,Mostly Positive,69.45,"Action,Adventure,Strategy",88
481510,Night in the Woods,Very Positive,91.34,Adventure,88
1221250,NORCO,Very Positive,88.08,"Adventure,Indie",88
261570,Ori and the Blind Forest,Overwhelmingly Positive,93.6,Action,88
809230,Unity of Command II,Very Positive,78.21,"Indie,Simulation,Strategy",88
387290,Ori and the Blind Forest: Definitive Edition,Overwhelmingly Positive,93.96,Action,88
21090,F.E.A.R.,Very Positive,91.38,Action,88
582010,Monster Hunter: World,Very Positive,85.42,Action,88
782330,DOOM Eternal,Very Positive,89.7,Action,88
9010,Return to Castle Wolfenstein,Very Positive,90.18,Action,88
268910,Cuphead,Overwhelmingly Positive,95.2,"Action,Indie",88
8500,EVE Online,Mostly Positive,73.13,"Action,Free to Play,Massively Multiplayer,RPG,Strategy",88
519860,DUSK,Overwhelmingly Positive,95.21,"Action,Indie",88
504230,Celeste,Overwhelmingly Positive,96.06,"Action,Adventure,Indie",88
220200,Kerbal Space Program,Overwhelmingly Positive,93.49,"Indie,Simulation",88
214770,Guacamelee! Gold Edition,Very Positive,90.14,"Action,Adventure,Indie",88
560130,Pillars of Eternity II: Deadfire,Very Positive,85.74,RPG,88
221910,The Stanley Parable,Very Positive,90.73,"Adventure,Indie",88
1057090,Ori and the Will of the Wisps,Overwhelmingly Positive,95.13,Action,88
48000,LIMBO,Very Positive,91.7,"Action,Adventure,Indie",88
