title,count
Counter-Strike: Global Offensive,7992
PUBG: BATTLEGROUNDS,4381
PAYDAY 2,4103
Terraria,3755
Garry's Mod,3538
Grand Theft Auto V,3476
Warframe,3417
Unturned,3333
Outlast,3106
Don't Starve Together,3048
Destiny 2,2646
Among Us,2558
The Forest,2530
Stardew Valley,2428
Portal,2382
Dying Light,2319
ARK: Survival Evolved,2287
Rust,2263
Brawlhalla,2193
VRChat,2169
Insurgency,2160
War Thunder,2131
Path of Exile,2102
Killing Floor,2067
Fallout 4,2062
Dead by Daylight,1971
Phasmophobia,1921
Company of Heroes 2,1919
7 Days to Die,1889
Valheim,1853
Monster Hunter: World,1848
Deep Rock Galactic,1824
The Elder Scrolls V: Skyrim Special Edition,1804
Chivalry: Medieval Warfare,1763
Human: Fall Flat,1762
Saints Row: The Third,1748
Risk of Rain 2,1741
Warhammer: Vermintide 2,1739
The Descendant,1729
ELDEN RING,1701
BioShock Infinite,1700
DOOM,1683
A Story About My Uncle,1636
Cities: Skylines,1625
Killing Floor 2,1616
The Binding of Isaac,1614
Tabletop Simulator,1610
Starbound,1587
The Witcher 2: Assassins of Kings Enhanced Edition,1570
Halo Infinite,1542
Raft,1517
Grand Theft Auto IV: The Complete Edition,1505
No Man's Sky,1475
Magicka,1469
Hotline Miami,1457
Z1 Battle Royale,1456
Red Dead Redemption 2,1453
Dota Underlords,1438
Just Cause 2,1432
Trove,1422
Halo: The Master Chief Collection,1413
Arma 3,1413
Vampire Survivors,1409
Robocraft,1404
No More Room in Hell,1402
Left 4 Dead,1398
Ready or Not,1396
PlanetSide 2,1396
LIMBO,1354
Hollow Knight,1348
Super Meat Boy,1344
Baldur's Gate 3,1337
Warface,1313
Deceit,1304
Hades,1300
Crusader Kings II,1283
FTL: Faster Than Light,1281
Guns of Icarus Online,1274
Clicker Heroes,1258
Fallout Shelter,1216
SCP: Secret Laboratory,1209
Undertale,1207
Conqueror's Blade,1196
The Walking Dead,1195
Crab Game,1190
Dishonored,1186
XCOM: Enemy Unknown,1185
Black Desert,1184
Half-Life 2: Episode One,1173
Totally Accurate Battlegrounds,1171
EVE Online,1165
Bastion,1163
DISTRAINT: Deluxe Edition,1162
This War of Mine,1159
Goat Simulator,1147
Borderlands 3,1142
DayZ,1140
Bloons TD 6,1136
Amnesia: The Dark Descent,1135
Slay the Spire,1132
Little Nightmares,1132
Plague Inc: Evolved,1125
Shadow Warrior,1124
Prison Architect,1123
The Binding of Isaac: Rebirth,1118
Hacknet,1118
Half-Life 2: Episode Two,1107
METAL GEAR SOLID V: THE PHANTOM PAIN,1106
Stellaris,1101
Subnautica,1084
Metro 2033 Redux,1061
Murderous Pursuits,1054
Space Engineers,1048
AdVenture Capitalist,1046
Golf With Your Friends,1045
Sanctum 2,1043
Risk of Rain,1038
Mount & Blade: Warband,1035
Black Squad,1035
Alan Wake,1021
Orcs Must Die! 2,1020
Arma 2: Operation Arrowhead,1016
Braveland,1015
World of Warships,1012
Serious Sam 3: BFE,1003
DOOM Eternal,997
ORION: Prelude,996
Kathy Rain,994
Battlerite,993
Stick Fight: The Game,989
Cry of Fear,982
Hunt: Showdown,978
Goose Goose Duck,959
Enter the Gungeon,955
Layers of Fear (2016),954
Hero Siege,952
Dead Cells,948
Kingdom: Classic,944
Surgeon Simulator,942
Minion Masters,942
Psychonauts,937
Resident Evil 2,936
Eternal Return,934
Realm of the Mad God Exalt,932
Hyperdrive Massacre,928
Metro: Last Light Redux,924
Black Mesa,920
Mad Max,920
Evolvation,916
The Stanley Parable,915
SpeedRunners,914
Cuphead,902
Kerbal Space Program,901
Neverwinter,897
Spec Ops: The Line,897
Tropico 4,892
Splitgate,891
Dungeon Defenders II,886
Frostpunk,883
RIFT,878
Fistful of Frags,877
Quake Champions,877
Dino D-Day,864
Sniper Elite 4,859
The Long Dark,857
Muse Dash,857
Grim Dawn,855
Wolfenstein: The New Order,853
Dungeon Defenders,851
Resident Evil 5,845
Skullgirls 2nd Encore,842
Slime Rancher,841
Overcooked! 2,830
Alien Swarm: Reactive Drop,825
Besiege,823
Warhammer: End Times - Vermintide,822
Devil May Cry 5,818
Factorio,811
Helltaker,810
Sven Co-op,804
Satisfactory,804
Albion Online,801
Metro Exodus,800
Pummel Party,797
New World,797
RimWorld,797
Oxygen Not Included,794
Spiral Knights,787
Titan Quest Anniversary Edition,778
NARAKA: BLADEPOINT,777
Dead Bits,770
Kingdom Come: Deliverance,767
Resident Evil 7 Biohazard,765
Hearts of Iron IV,759
Dragon's Dogma: Dark Arisen,758
Deus Ex: Human Revolution - Director's Cut,758
Barotrauma,749
Gunfire Reborn,744
American Truck Simulator,744
Yet Another Zombie Defense,743
Sleeping Dogs: Definitive Edition,741
Broforce,740
Hotline Miami 2: Wrong Number,734
V Rising,732
Knights and Merchants,731
Counter-Strike Nexon: Studio,730
Resident Evil Revelations 2,726
Mortal Kombat X,724
Crypt of the NecroDancer,719
Game Dev Tycoon,717
How to Survive,717
Yakuza 0,715
100% Orange Juice,712
Fearless Fantasy,710
Natural Selection 2,709
Prey,709
Surviving Mars,708
Yu-Gi-Oh! Master Duel,708
Fishing Planet,703
UNO,703
APB Reloaded,702
Age of Wonders III,700
Assetto Corsa,695
Fallout 76,695
World of Guns: Gun Disassembly,692
To the Moon,692
Poly Bridge,691
Contagion,690
Hand Simulator,690
Elite Dangerous,688
Sniper Elite 3,685
For The King,683
MONSTER HUNTER RISE,682
Saints Row 2,681
ASTRONEER,678
SUPERHOT,676
We Were Here,675
Conan Exiles,674
Yu-Gi-Oh! Duel Links,672
X-Blades,669
Remnant: From the Ashes,668
Darksiders Warmastered Edition,666
Overcast - Walden and the Werewolf,661
S.T.A.L.K.E.R.: Shadow of Chernobyl,659
MORDHAU,656
Geometry Dash,655
SpaceChem,655
Squad,653
Vampire: The Masquerade - Bloodhunt,651
Transistor,650
Mount & Blade II: Bannerlord,650
METAL GEAR RISING: REVENGEANCE,644
Heroine's Quest: The Herald of Ragnarok,643
The Flame in the Flood,642
Crossout,632
It Takes Two,629
Lost,628
Insurgency: Sandstorm,627
Creativerse,627
CODE VEIN,627
Jotun: Valhalla Edition,624
Serena,624
Planet Coaster,622
Particula,612
VVVVVV,611
Dead Island Definitive Edition,611
PC Building Simulator,611
Serious Sam HD: The First Encounter,611
Gang Beasts,608
Satellite Reign,605
House Flipper,603
Mafia II (Classic),603
Call of Duty: World at War,602
Outlast 2,602
The Expendabros,600
Alien: Isolation,599
Zombie Army Trilogy,599
Beholder,595
The Red Solstice,594
The Desolate Hope,594
DEVOUR,594
Spelunky,593
Dust: An Elysian Tail,592
METAL GEAR SOLID V: GROUND ZEROES,590
World of Tanks Blitz,585
Shadow Warrior 2,585
Ultimate Chicken Horse,583
Forza Horizon 4,580
theHunter Classic,579
Idle Champions of the Forgotten Realms,579
Lucius,576
TEKKEN 7,572
RISK: Global Domination,572
Noita,570
NEKOPARA Vol. 0,569
Northgard,568
Out There Somewhere,568
Bayonetta,567
GTFO,566
Capcom Arcade Stadium,564
The Escapists 2,564
Toribash,564
Beat Saber,564
Antichamber,563
Inscryption,562
Beat Hazard,559
Brotato,558
Resident Evil Village,556
Age of Empires II: Definitive Edition,555
Getting Over It with Bennett Foddy,555
Brothers - A Tale of Two Sons,555
The Culling Of The Cows,554
Half-Life: Alyx,551
Hellblade: Senua's Sacrifice,549
Infestation: The New Z,547
Deponia,545
FINAL FANTASY XIV Online,545
Resident Evil 3,543
Ryse: Son of Rome,543
Transformice,543
Graveyard Keeper,542
Total War: WARHAMMER,541
Sonic & All-Stars Racing Transformed Collection,538
Stories: The Path of Destinies,538
FINAL FANTASY XV WINDOWS EDITION,536
World of Goo,533
Control Ultimate Edition,529
Duck Game,528
Viscera Cleanup Detail: Shadow Warrior,528
NEKOPARA Vol. 1,528
Total War: WARHAMMER II,527
Kenshi,526
Rising Storm 2: Vietnam,525
Worms Revolution,524
SCUM,523
Romance of the Three Kingdoms Maker,521
Memories of a Vagabond,520
Sanctum,519
Loop Hero,517
Hammerwatch,515
Friday the 13th: The Game,514
Banished,512
Darksiders II Deathinitive Edition,512
Reflex,510
Torchlight,510
Lethal League,510
Cult of the Lamb,510
BIT.TRIP RUNNER,510
Race The Sun,510
Magicka 2,510
Ori and the Blind Forest: Definitive Edition,509
Green Hell,509
Ori and the Blind Forest,509
The Talos Principle,508
Viscera Cleanup Detail,507
Orcs Must Die!,506
Blasphemous,506
Back 4 Blood,506
The Tiny Bang Story,506
Shadow Tactics: Blades of the Shogun,504
The Incredible Adventures of Van Helsing,503
Really Big Sky,502
Sakura Clicker,501
Phantasy Star Online 2 New Genesis,500
Resident Evil,500
Two Worlds II HD,499
A Hat in Time,497
Fortified,497
Relic Hunters Zero: Remix,497
Back to Bed,495
Depth,495
Wizard of Legend,495
Emily is Away,491
The Evil Within,491
Blood and Bacon,490
The Lab,487
System Shock 2,486
The Archotek Project,486
NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,486
Cookie Clicker,485
Move or Die,485
Codename CURE,485
Deadlight,485
Dungeons 2,483
Dead Frontier 2,482
Outland,482
S.T.A.L.K.E.R.: Call of Pripyat,482
METAL SLUG 3,481
Mass Effect (2007),480
My Time At Portia,480
Aperture Desk Job,479
BEEP,479
E.Y.E: Divine Cybermancy,479
Ironsight,478
Deus Ex: Game of the Year Edition,475
Crusader Kings III,474
Pillars of Eternity,474
BeamNG.drive,474
Forager,473
Hell Let Loose,472
God of War,472
INSIDE,472
Overcooked,469
Deponia: The Complete Journey,468
Company of Heroes - Legacy Edition,468
Bomber Crew,466
Super Animal Royale,466
Keep Talking and Nobody Explodes,465
Bully: Scholarship Edition,464
Guacamelee! Super Turbo Championship Edition,461
Core Keeper,461
Celeste,460
Earth 2160,457
Pavlov VR,453
DRAGON BALL FighterZ,452
Turbo Pug DX,452
KurtzPel,451
DCS World Steam Edition,451
Street Fighter V,450
OneShot,450
Stray,448
Eador. Masters of the Broken World,448
Guacamelee! Gold Edition,446
Mirror 2: Project X,444
Timberman,442
Firewatch,442
Ori and the Will of the Wisps,441
Ghostrunner,441
Mafia III: Definitive Edition,440
Double Action: Boogaloo,439
Moonlighter,439
Jurassic World Evolution,439
Mountain,438
Heli Heroes,436
SOMA,435
Moonbase Alpha,435
TrackMania Nations Forever,434
Forza Horizon 5,434
Stumble Guys,432
Wolfenstein II: The New Colossus,431
Children of Morta,428
One Finger Death Punch,428
Braid,428
RADical ROACH Remastered,425
12 is Better Than 6,425
The Escapists,424
911 Operator,423
F.E.A.R.,422
RUSH,422
Tree of Savior (English Ver.),420
Pixel Piracy,420
Kingdom: New Lands,419
