title,total_playtime
Counter-Strike: Global Offensive,570192698
Warframe,88690762
Grand Theft Auto V,87214269
PUBG: BATTLEGROUNDS,84336364
Garry's Mod,78675106
Rust,59779704
PAYDAY 2,58229793
Destiny 2,57411133
FINAL FANTASY XIV Online,45984212
Terraria,41026556
Path of Exile,40854214
Dead by Daylight,39129022
ARK: Survival Evolved,36350945
Unturned,32984669
Black Desert,32052102
War Thunder,29145422
VRChat,27088833
Idle Champions of the Forgotten Realms,26095253
Monster Hunter: World,24818777
Cookie Clicker,24697623
Clicker Heroes,24056601
Fallout 4,22841931
Arma 3,20585649
7 Days to Die,19654589
The Elder Scrolls V: Skyrim Special Edition,19023381
Don't Starve Together,16835308
Stardew Valley,16661804
The Binding of Isaac: Rebirth,15850893
ELDEN RING,15485892
DayZ,15016402
Crusaders of the Lost Idols,14679301
Killing Floor 2,14465632
NGU IDLE,14175016
RimWorld,13843995
The Forest,13684545
MIR4,12730613
Factorio,12668541
NEKOPARA Vol. 0,12570505
NEKOPARA Vol. 1,11992779
NEKOPARA Vol. 2,11693314
Idling to Rule the Gods,11500768
Dying Light,11248649
Red Dead Redemption 2,10909921
Hearts of Iron IV,10867676
Melvor Idle,10818908
EVE Online,10812507
Stellaris,10225982
Left 4 Dead,9928122
Valheim,9821948
Deep Rock Galactic,9566309
Risk of Rain 2,9422436
AdVenture Capitalist,9380716
RIFT,9150714
New World,8872702
American Truck Simulator,8858193
NARAKA: BLADEPOINT,8832050
Bloons TD 6,8718482
NEKOPARA Vol. 3,8593246
Company of Heroes 2,8284464
Baldur's Gate 3,8275926
Hunt: Showdown,8244021
Among Us,8235632
Mount & Blade: Warband,7979700
Fallout Shelter,7887120
Starbound,7723642
Outlast,7675068
No Man's Sky,7569705
Realm Grinder,7471839
Total War: WARHAMMER II,7287526
Cities: Skylines,7031427
Z1 Battle Royale,6795108
PlanetSide 2,6719209
Yu-Gi-Oh! Duel Links,6692444
Mount & Blade II: Bannerlord,6598241
Crush Crush,6590193
Phantasy Star Online 2 New Genesis,6561323
Trove,6530482
Satisfactory,6483068
